name,genre,platform,year_of_release,publisher,rating
NHL 2001,Sports,PS,2000.0,Electronic Arts,E
Crysis 3,Shooter,PC,2013.0,Electronic Arts,M
Buzz Lightyear of Star Command,Platform,PS,2000.0,Activision,E
NHL 16,Sports,PS4,2015.0,Electronic Arts,E10+
Namco Museum,Misc,GC,2002.0,Namco Bandai Games,E
Cabela's Big Game Hunter (2008),Sports,Wii,2007.0,Activision,T
Tony Hawk's Project 8,Sports,PS3,2006.0,Activision,T
Ghostbusters: The Video Game,Action,X360,2009.0,Atari,T
XCOM: Enemy Unknown,Strategy,X360,2012.0,Take-Two Interactive,M
Tony Hawk's American Wasteland,Sports,XB,2005.0,Activision,T
Wild ARMs 3,Role-Playing,PS2,2002.0,Ubisoft,T
Family Feud: 2010 Edition,Misc,Wii,2009.0,Ubisoft,E
Madden NFL 07,Sports,GC,2006.0,Electronic Arts,E
LEGO Jurassic World,Action,3DS,2015.0,Warner Bros. Interactive Entertainment,E10+
Tiger Woods PGA Tour 2004,Sports,XB,2003.0,Electronic Arts,E
Tak 2: The Staff of Dreams,Platform,PS2,2004.0,THQ,E
Just Dance 3,Misc,PS3,2011.0,Ubisoft,E10+
LEGO Pirates of the Caribbean: The Video Game,Action,3DS,2011.0,Disney Interactive Studios,E10+
Donkey Kong Barrel Blast,Racing,Wii,2007.0,Nintendo,E
The Princess and the Frog,Platform,DS,2009.0,Disney Interactive Studios,E
Viewtiful Joe,Action,GC,2003.0,Capcom,T
The Urbz: Sims in the City,Simulation,GBA,2004.0,Electronic Arts,E
Guitar Hero: Metallica,Misc,PS3,2009.0,Activision,T
Disney's 102 Dalmatians: Puppies to the Rescue,Platform,PS,2000.0,Eidos Interactive,E
Strike Force Bowling,Sports,PS2,2004.0,Play It,E
Red Steel 2,Shooter,Wii,2010.0,Ubisoft,T
XGRA: Extreme G-Racing Association,Racing,PS2,2004.0,Eidos Interactive,T
Mafia III,Action,XOne,2016.0,Take-Two Interactive,M
Prince of Persia: The Forgotten Sands,Action,X360,2010.0,Ubisoft,T
Warriors Orochi 3,Action,PS3,2011.0,Ubisoft Annecy,T
Tomb Raider III: Adventures of Lara Croft,Action,PC,1998.0,Eidos Interactive,T
DJ Hero 2,Misc,Wii,2010.0,Activision,T
Tiger Woods PGA Tour 12: The Masters,Sports,X360,2011.0,Electronic Arts,E
Battle of Giants: Dragons,Strategy,DS,2009.0,Ubisoft,E10+
Wall-E,Platform,X360,2008.0,THQ,E
Harry Potter and the Half-Blood Prince,Action,DS,2009.0,Electronic Arts,E
NieR,Role-Playing,PS3,2010.0,Square Enix,M
2014 FIFA World Cup Brazil,Sports,PS3,2014.0,Electronic Arts,E
NBA 2K9,Sports,PS3,2008.0,Take-Two Interactive,E
SpongeBob's Atlantis SquarePantis,Action,Wii,2007.0,THQ,E
NFL Fever 2003,Sports,XB,2002.0,Microsoft Game Studios,E
Samurai Warriors 2,Action,PS2,2006.0,Tecmo Koei,T
Wet,Shooter,PS3,2009.0,Bethesda Softworks,M
Cooking Mama 4: Kitchen Magic!,Simulation,3DS,2011.0,505 Games,E
Scribblenauts: Unlimited,Action,3DS,2012.0,Warner Bros. Interactive Entertainment,E10+
The Black Eyed Peas Experience,Misc,Wii,2011.0,Ubisoft,T
Fire Emblem: Shadow Dragon,Role-Playing,DS,2008.0,Nintendo,E10+
Plants vs. Zombies: Garden Warfare,Shooter,PS4,2014.0,Electronic Arts,E10+
Metroid Prime: Trilogy,Shooter,Wii,2009.0,Nintendo,T
Robotech: Battlecry,Shooter,PS2,2002.0,TDK Mediactive,T
Dora the Explorer: Super Spies,Platform,GBA,2004.0,Gotham Games,E
Disney Universe,Action,PS3,2011.0,Disney Interactive Studios,E10+
Jak and Daxter: The Lost Frontier,Platform,PSP,2009.0,Sony Computer Entertainment,E10+
Texas Hold 'Em Poker,Misc,GBA,2004.0,Majesco Entertainment,E
Time Crisis 3,Shooter,PS2,2003.0,Namco Bandai Games,T
WWE SmackDown vs. Raw 2010,Fighting,PSP,2009.0,THQ,T
Vanquish,Shooter,PS3,2010.0,Sega,M
Tearaway,Adventure,PSV,2013.0,Sony Computer Entertainment Europe,E
Half-Life 2,Shooter,XB,2005.0,Electronic Arts,M
Tony Hawk: RIDE,Sports,X360,2009.0,Activision,E10+
Borderlands: The Pre-Sequel,Shooter,PS3,2014.0,Take-Two Interactive,M
Major League Baseball 2K8,Sports,X360,2008.0,Bethesda Softworks,E
Sacred 2: Fallen Angel,Role-Playing,PS3,2009.0,Deep Silver,M
pro evolution soccer 2011,Sports,X360,2010.0,Konami Digital Entertainment,E
Major League Baseball 2K9,Sports,X360,2009.0,Spike,E
Final Fantasy IV Advance,Role-Playing,GBA,2005.0,Nintendo,E10+
Dragon Ball Z: Ultimate Tenkaichi,Fighting,PS3,2011.0,Namco Bandai Games,T
Madden NFL 2003,Sports,GBA,2002.0,Electronic Arts,E
Harry Potter and the Goblet of Fire,Action,GBA,2005.0,Electronic Arts,E
Dragon Ball Z: Buu's Fury,Action,GBA,2004.0,Atari,E
Madden NFL 2002,Sports,GC,2001.0,Electronic Arts,E
Spider-Man: Mysterio's Menace,Action,GBA,2001.0,Activision,E
MySims Racing,Racing,DS,2009.0,Electronic Arts,E
Naruto: Ultimate Ninja,Fighting,PS2,2003.0,Atari,T
Pac-Man Party,Misc,Wii,2010.0,Namco Bandai Games,E10+
Cabela's Monster Buck Hunter,Sports,Wii,2010.0,Activision,T
Tony Hawk's Underground,Sports,GBA,2003.0,Activision,E
Monster Trucks,Racing,GBA,2004.0,Majesco Entertainment,E
World of Zoo,Simulation,Wii,2009.0,THQ,E
Shadow The Hedgehog,Platform,PS2,2005.0,Sega,E10+
Wave Race: Blue Storm,Racing,GC,2001.0,Nintendo,E
Aliens: Colonial Marines,Shooter,PS3,2013.0,Sega,M
Backyard Wrestling: Don't Try This at Home,Fighting,PS2,2003.0,Eidos Interactive,M
Yakuza: Dead Souls,Shooter,PS3,2011.0,Sega,M
Fight Night Round 2,Fighting,XB,2005.0,Electronic Arts,T
Dead Island: Riptide,Action,PS3,2013.0,Deep Silver,M
Just Dance 2015,Misc,X360,2014.0,Ubisoft,E10+
Kinect Sports Rivals,Sports,XOne,2014.0,Microsoft Game Studios,E10+
NBA 2K8,Sports,PS2,2007.0,Take-Two Interactive,E
Dynasty Warriors 8,Action,PS3,2013.0,Tecmo Koei,T
Disney Infinity,Action,WiiU,2013.0,Disney Interactive Studios,E10+
Secret Agent Clank,Platform,PS2,2009.0,Sony Computer Entertainment,E10+
Call of Juarez: Bound in Blood,Shooter,X360,2009.0,Ubisoft,M
Fighters Uncaged,Fighting,X360,2010.0,Ubisoft,T
Rayman Arena,Racing,PS2,2001.0,Ubisoft,E
Jaws Unleashed,Action,PS2,2006.0,THQ,M
Half-Life,Shooter,PS2,2001.0,Vivendi Games,M
NASCAR Heat 2002,Racing,PS2,2001.0,Infogrames,E
Split/Second,Racing,X360,2010.0,Disney Interactive Studios,E10+
The Golden Compass,Action,DS,2007.0,Sega,E10+
Muramasa: The Demon Blade,Role-Playing,Wii,2009.0,Rising Star Games,T
Littlest Pet Shop: Garden,Simulation,DS,2008.0,Electronic Arts,E
Okami,Action,Wii,2008.0,Capcom,T
LEGO The Hobbit,Action,PS4,2014.0,Warner Bros. Interactive Entertainment,E10+
WWE 2K17,Sports,PS4,2016.0,Take-Two Interactive,T
Just Dance 2014,Misc,WiiU,2013.0,Ubisoft,E10+
Wipeout: The Game,Misc,DS,2010.0,Activision,E
NHL 15,Sports,PS4,2014.0,Electronic Arts,E10+
Total War: Shogun 2,Strategy,PC,2011.0,Sega,T
Major League Baseball 2K7,Sports,PS2,2007.0,Spike,E
Dragon Age: Inquisition,Role-Playing,PS3,2014.0,Electronic Arts,M
SimCity DS,Simulation,DS,2007.0,Electronic Arts,E
New Carnival Games,Misc,Wii,2010.0,Take-Two Interactive,E
Hot Wheels: Stunt Track Challenge,Racing,PS2,2004.0,THQ,E
Littlest Pet Shop: Jungle,Simulation,DS,2008.0,Electronic Arts,E
FIFA 15,Sports,PSV,2014.0,Electronic Arts,E
Monopoly,Misc,X360,2008.0,Electronic Arts,E
Tony Hawk: RIDE,Sports,PS3,2009.0,Activision,E10+
Medal of Honor: Frontline,Shooter,GC,2002.0,Electronic Arts,T
Dead Space,Action,PC,2008.0,Electronic Arts,M
NFL Blitz 2001,Sports,PS,2000.0,Midway Games,E
Rock Band 2,Misc,PS2,2008.0,MTV Games,T
NHL 11,Sports,PS3,2010.0,Electronic Arts,E10+
Yakuza 5,Action,PS3,2012.0,Sega,M
2002 FIFA World Cup,Sports,PS2,2002.0,Electronic Arts,E
MVP Baseball 2004,Sports,XB,2004.0,Electronic Arts,E
Crash Bandicoot: The Wrath of Cortex,Platform,GC,2002.0,Universal Interactive,E
WWE 2K16,Sports,XOne,2015.0,Take-Two Interactive,T
Assassin's Creed: Brotherhood,Action,PC,2011.0,Ubisoft,M
Dead or Alive Xtreme Beach Volleyball,Sports,XB,2003.0,Microsoft Game Studios,M
Silent Hill: Shattered Memories,Action,PS2,2010.0,Konami Digital Entertainment,M
Disney Sing It: Family Hits,Misc,Wii,2010.0,Disney Interactive Studios,E
Blur,Racing,X360,2010.0,Activision,E10+
Asphalt: Urban GT,Racing,DS,2004.0,Ubisoft,E
Mega Man Anniversary Collection,Platform,PS2,2004.0,Capcom,E
Metal Gear Solid V: Ground Zeroes,Action,PS3,2014.0,Konami Digital Entertainment,M
Harvest Moon: Friends of Mineral Town,Simulation,GBA,2003.0,Ubisoft,E
Ben 10: Alien Force,Action,PSP,2008.0,Koch Media,E10+
Naruto: The Broken Bond,Action,X360,2008.0,Ubisoft,T
WarioWare D.I.Y.,Misc,DS,2009.0,Nintendo,E
Iron Man,Action,Wii,2008.0,Sega,T
The Fight: Lights Out,Fighting,PS3,2010.0,Sony Computer Entertainment,T
Mega Man X7,Action,PS2,2003.0,Capcom,E
Deus Ex: Human Revolution,Shooter,PC,2011.0,Square Enix,M
SpongeBob SquarePants featuring Nicktoons: Globs of Doom,Action,PS2,2008.0,THQ,E
Final Fantasy Anniversary Edition,Role-Playing,PSP,2007.0,Square Enix,E10+
LEGO Indiana Jones 2: The Adventure Continues,Action,PSP,2009.0,Activision,E10+
SoulCalibur V,Fighting,X360,2012.0,Namco Bandai Games,T
Romancing SaGa,Role-Playing,PS2,2005.0,Square Enix,E10+
Lost: Via Domus,Action,X360,2008.0,Ubisoft,T
Top Spin 3,Action,Wii,2008.0,Take-Two Interactive,E
Game Party in Motion,Misc,X360,2010.0,Warner Bros. Interactive Entertainment,E
The Lord of the Rings: The Third Age,Role-Playing,PS2,2004.0,Electronic Arts,T
Call of Duty: Black Ops,Shooter,DS,2010.0,Activision,T
NCAA Football 09,Sports,PS3,2008.0,Electronic Arts,E
MLB 11: The Show,Sports,PS3,2011.0,Sony Computer Entertainment,E
Kinect Rush: A Disney Pixar Adventure,Adventure,X360,2012.0,Microsoft Game Studios,E
Skylanders SWAP Force,Platform,WiiU,2013.0,Activision,E10+
Terminator 3: Rise of the Machines,Action,PS2,2003.0,Atari,T
Guitar Hero: Smash Hits,Misc,Wii,2009.0,Activision,T
Tom Clancy's HAWX,Action,X360,2009.0,Ubisoft,T
Alice: Madness Returns,Adventure,PS3,2011.0,Electronic Arts,M
Shin Megami Tensei IV,Role-Playing,3DS,2013.0,Atlus,M
NBA 2K7,Sports,X360,2006.0,Take-Two Interactive,E
NHL 12,Sports,PS3,2011.0,Electronic Arts,E10+
Unreal Tournament,Shooter,PS2,2000.0,Infogrames,M
Digimon World 2,Role-Playing,PS,2000.0,Namco Bandai Games,E
Prince of Persia: The Two Thrones,Action,XB,2005.0,Ubisoft,M
FIFA Soccer 10,Sports,DS,2009.0,Electronic Arts,E
JoJo's Bizarre Adventure: All Star Battle,Fighting,PS3,2013.0,Namco Bandai Games,T
Contra: Shattered Soldier,Shooter,PS2,2002.0,Konami Digital Entertainment,T
Final Fantasy: The 4 Heroes of Light,Role-Playing,DS,2009.0,Square Enix,E10+
Rayman Legends,Platform,PS3,2013.0,Ubisoft,E10+
FIFA Soccer,Sports,PSV,2012.0,Electronic Arts,E
Tenchu 2: Birth of the Stealth Assassins,Action,PS,2000.0,Activision,M
Tony Hawk's Pro Skater 4,Sports,GC,2002.0,Activision,T
Naruto: Uzumaki Chronicles 2,Action,PS2,2006.0,Namco Bandai Games,T
NHL 06,Sports,PS2,2005.0,Electronic Arts,E10+
Parasite Eve II,Role-Playing,PS,1999.0,SquareSoft,M
Skate it,Sports,Wii,2008.0,Electronic Arts,E
Pro Evolution Soccer 2015,Sports,PS3,2014.0,Konami Digital Entertainment,E
NCAA Football 10,Sports,PS2,2009.0,Electronic Arts,E
Phineas and Ferb: Across the 2nd Dimension,Action,Wii,2011.0,Disney Interactive Studios,E10+
Far Cry Instincts,Shooter,XB,2005.0,Ubisoft,M
Hasbro Family Game Night,Puzzle,PS2,2008.0,Electronic Arts,E
Tony Hawk's Pro Skater 4,Sports,GBA,2002.0,Activision,E
ATV Offroad Fury: Blazin' Trails,Racing,PSP,2005.0,SouthPeak Games,E
Tales of the Abyss,Role-Playing,PS2,2005.0,Namco Bandai Games,T
Payday 2,Shooter,X360,2013.0,505 Games,M
Blacksite: Area 51,Shooter,X360,2007.0,Midway Games,T
Spyro Orange: The Cortex Conspiracy,Action,GBA,2004.0,Vivendi Games,E
XCOM: Enemy Unknown,Strategy,PS3,2012.0,Take-Two Interactive,M
Petz Dogz 2,Simulation,Wii,2007.0,Ubisoft,E
Ben 10: Alien Force,Action,PS2,2008.0,Koch Media,E10+
Skylanders: Spyro's Adventure,Action,3DS,2011.0,Activision,E10+
Cabela's Dangerous Hunts 2011,Sports,Wii,2010.0,Activision,T
The Sims 3: World Adventures,Simulation,PC,2009.0,Electronic Arts,T
Madden NFL 06,Sports,GC,2005.0,Electronic Arts,E
Titanfall 2,Shooter,XOne,2016.0,Electronic Arts,M
BlazBlue: Calamity Trigger,Fighting,PS3,2009.0,PQube,T
Iron Man,Action,X360,2008.0,Sega,T
Naruto: Ultimate Ninja 2,Fighting,PS2,2004.0,Namco Bandai Games,T
NHL 10,Sports,PS3,2009.0,Electronic Arts,E10+
Zumba Fitness,Sports,PS3,2010.0,505 Games,E
Rock Band 3,Misc,PS3,2010.0,MTV Games,T
Blood Wake,Shooter,XB,2001.0,Microsoft Game Studios,T
Dynasty Warriors 5: Xtreme Legends,Action,PS2,2005.0,Tecmo Koei,T
Rapala: We Fish,Sports,Wii,2009.0,Activision,E
WWE 2K15,Sports,XOne,2014.0,Take-Two Interactive,T
FIFA World Cup Germany 2006,Sports,PS2,2006.0,Electronic Arts,E
Wreckless: ThE YaKuza MisSiOns,Racing,XB,2002.0,Activision,T
Defiance,Shooter,X360,2013.0,Trion Worlds,M
Disgaea 4: A Promise Unforgotten,Role-Playing,PS3,2011.0,Nippon Ichi Software,T
SpongeBob SquarePants featuring Nicktoons: Globs of Doom,Action,DS,2008.0,THQ,E
SpongeBob SquarePants: Battle for Bikini Bottom,Platform,XB,2003.0,THQ,E
Doom 3 BFG Edition,Shooter,PS3,2012.0,Bethesda Softworks,M
Spider-Man 3,Platform,X360,2007.0,Activision,T
Pro Evolution Soccer 2012,Action,PSP,2011.0,Konami Digital Entertainment,E
The Conduit,Shooter,Wii,2009.0,Sega,T
Trivial Pursuit,Misc,Wii,2009.0,Electronic Arts,E
Just Dance 2016,Misc,WiiU,2015.0,Ubisoft,E10+
Disney Universe,Action,X360,2011.0,Disney Interactive Studios,E10+
RalliSport Challenge,Racing,XB,2002.0,Microsoft Game Studios,E
Resident Evil Outbreak File #2,Action,PS2,2004.0,Capcom,M
Top Spin 3,Action,PS3,2008.0,Take-Two Interactive,E
XIII,Shooter,PS2,2003.0,Ubisoft,M
Tomb Raider: Anniversary,Action,PSP,2007.0,Eidos Interactive,T
Bratz 4 Real,Adventure,DS,2007.0,THQ,E
Rune Factory 4,Role-Playing,3DS,2012.0,Xseed Games,E10+
3D Dot Game Heroes,Role-Playing,PS3,2009.0,SouthPeak Games,E10+
Up,Action,Wii,2009.0,THQ,E10+
Breath of Fire IV,Role-Playing,PS,2000.0,Capcom,T
Tales of Zestiria,Role-Playing,PS3,2015.0,Namco Bandai Games,T
True Crime: Streets of LA,Action,GC,2003.0,Activision,M
Odin Sphere,Role-Playing,PS2,2007.0,Square Enix,T
Petz Wild Animals: Tigerz,Simulation,DS,2008.0,Ubisoft,E
Ms. Pac-Man Maze Madness,Puzzle,GBA,2004.0,Zoo Digital Publishing,E
Titanfall,Shooter,PC,2014.0,Electronic Arts,M
Arena Football,Sports,PS2,2006.0,Electronic Arts,E10+
The Lord of the Rings: The Return of the King,Action,GBA,2003.0,Electronic Arts,T
NHL Hitz 20-02,Sports,PS2,2001.0,Midway Games,E
The Legend of Spyro: Dawn of the Dragon,Platform,Wii,2008.0,Vivendi Games,E10+
Classic NES Series: Dr. Mario,Puzzle,GBA,2004.0,Nintendo,E
The Sims: Bustin' Out,Simulation,XB,2003.0,Electronic Arts,T
NCAA March Madness 07,Sports,PS2,2007.0,Electronic Arts,E
"Monsters, Inc. Scream Team",Platform,PS,2001.0,Sony Computer Entertainment,E
"Warhammer 40,000: Space Marine",Shooter,X360,2011.0,THQ,M
Harry Potter Collection,Misc,PS2,2006.0,Electronic Arts,E10+
Top Spin 3,Action,X360,2008.0,Take-Two Interactive,E
Cabela's Big Game Hunter 2005 Adventures,Sports,PS2,2004.0,Activision,T
LEGO Rock Band,Misc,X360,2009.0,Warner Bros. Interactive Entertainment,E10+
Knockout Kings 2001,Fighting,PS2,2001.0,Electronic Arts,T
Petz Dogz 2,Simulation,PS2,2007.0,Ubisoft,E
Battlefield 2: Modern Combat,Shooter,XB,2005.0,Electronic Arts,T
Tom Clancy's HAWX,Action,PS3,2009.0,Ubisoft,T
All-Star Baseball 2002,Sports,PS2,2001.0,Acclaim Entertainment,E
Jillian Michaels Fitness Ultimatum 2010,Sports,Wii,2009.0,Majesco Entertainment,E
Need for Speed: Most Wanted,Racing,GC,2005.0,Electronic Arts,T
Bolt,Adventure,Wii,2008.0,Disney Interactive Studios,E10+
WWE Raw 2,Fighting,XB,2003.0,THQ,T
Manhunt 2,Action,PS2,2007.0,Take-Two Interactive,M
Fullmetal Alchemist and the Broken Angel,Role-Playing,PS2,2003.0,Square Enix,T
Tony Hawk's Project 8,Sports,PSP,2006.0,Activision,T
Batman Begins,Action,PS2,2005.0,Electronic Arts,T
Dogz,Simulation,DS,2006.0,Ubisoft,E
Tony Hawk's Proving Ground,Sports,X360,2007.0,Activision,T
Dr. Seuss' The Cat in the Hat,Misc,PS2,2003.0,Vivendi Games,E
Barbie Groovy Games,Misc,GBA,2002.0,Universal Interactive,E
Wolfenstein,Shooter,X360,2009.0,Activision,M
Blinx: The Time Sweeper,Platform,XB,2002.0,Microsoft Game Studios,E
ESPN NFL Football,Sports,PS2,2003.0,Sega,E
Major League Baseball 2K5,Sports,XB,2005.0,Take-Two Interactive,E
Tetris Party Deluxe,Puzzle,Wii,2010.0,Nintendo,E
Gravity Rush,Action,PSV,2012.0,Sony Computer Entertainment,T
Quantum Break,Action,XOne,2016.0,Microsoft Game Studios,M
Archer Maclean's Mercury,Puzzle,PSP,2005.0,Ignition Entertainment,E
TMNT,Action,X360,2007.0,Ubisoft,E10+
Middle-Earth: Shadow of Mordor,Action,PS3,2014.0,Warner Bros. Interactive Entertainment,M
Soldier of Fortune: Gold Edition,Shooter,PS2,2001.0,Codemasters,M
FIFA 15,Sports,Wii,2014.0,Electronic Arts,E
Final Fantasy IV: The Complete Collection,Role-Playing,PSP,2011.0,Square Enix,E10+
Frontlines: Fuel of War,Shooter,X360,2008.0,THQ,T
MX 2002 Featuring Ricky Carmichael,Racing,PS2,2001.0,THQ,E
NCAA Football 07,Sports,XB,2006.0,Electronic Arts,E
Lunar: Silver Star Story Complete,Role-Playing,PS,1998.0,Kadokawa Shoten,T
Harvest Moon: The Tale of Two Towns,Simulation,DS,2010.0,Natsume,E
No More Heroes,Action,Wii,2007.0,Rising Star Games,M
God of War: Origins Collection,Action,PS3,2011.0,Sony Computer Entertainment,M
Dora The Explorer: Dora Saves the Snow Princess,Platform,Wii,2008.0,Take-Two Interactive,E
Soul Reaver 2,Action,PS2,2001.0,Eidos Interactive,M
Metal Gear Solid 3: Subsistence,Action,PS2,2005.0,Konami Digital Entertainment,M
Enslaved: Odyssey to the West,Action,PS3,2010.0,Namco Bandai Games,T
WWF Raw,Fighting,XB,2002.0,THQ,T
Guitar Hero Live,Misc,XOne,2015.0,Activision,T
Catz,Simulation,DS,2006.0,Ubisoft,E
Extermination,Action,PS2,2001.0,Sony Computer Entertainment,M
Batman: Vengeance,Adventure,PS2,2001.0,Ubisoft,T
Hot Shots Golf: World Invitational,Sports,PSV,2011.0,Sony Computer Entertainment,E
Tony Hawk's Pro Skater 3,Sports,XB,2002.0,Activision,T
Mega Man Zero,Platform,GBA,2002.0,Capcom,E
Contender 2,Fighting,PS,2000.0,3DO,T
Resident Evil: Revelations 2,Action,PS4,2015.0,Capcom,M
NBA 2K8,Sports,PS3,2007.0,Take-Two Interactive,E
Rayman Origins,Platform,Wii,2011.0,Ubisoft,E10+
Assassin's Creed: Unity,Action,PC,2014.0,Ubisoft,M
MX vs. ATV: Alive,Racing,X360,2011.0,THQ,E
Shrek 2,Platform,XB,2004.0,Activision,E
Purr Pals,Simulation,DS,2007.0,THQ,E
Assassin's Creed II,Action,PC,2010.0,Ubisoft,M
Tak and the Power of Juju,Platform,GBA,2003.0,THQ,E
Lips: Number One Hits,Misc,X360,2009.0,Microsoft Game Studios,T
Turok: Evolution,Shooter,XB,2002.0,Acclaim Entertainment,M
Jak X: Combat Racing,Racing,PS2,2005.0,Sony Computer Entertainment,T
American Idol,Misc,PS2,2003.0,Codemasters,E
Barbie Horse Adventures: Riding Camp,Sports,DS,2008.0,Activision,E
Red Dead Revolver,Shooter,XB,2004.0,Take-Two Interactive,M
CrossworDS,Puzzle,DS,2008.0,Deep Silver,E
Viva Pinata: Pocket Paradise,Simulation,DS,2008.0,THQ,E
Petz Catz Clan,Simulation,DS,2008.0,Ubisoft,E
ZhuZhu Pets 2: Featuring The Wild Bunch,Simulation,DS,2010.0,Activision,E
Sly Cooper: Thieves in Time,Platform,PS3,2013.0,Sony Computer Entertainment Europe,E10+
Iron Man,Action,PS2,2008.0,Sega,T
Spec Ops: The Line,Shooter,PS3,2012.0,Take-Two Interactive,M
The SpongeBob SquarePants Movie,Platform,XB,2004.0,THQ,E
NHL 14,Sports,PS3,2013.0,Electronic Arts,E10+
F1 2013,Racing,PS3,2013.0,Codemasters,E
Legends of WrestleMania,Fighting,PS3,2009.0,THQ,T
Are You Smarter than a 5th Grader? Make the Grade,Misc,Wii,2008.0,THQ,E
Tiger Woods PGA Tour 08,Sports,X360,2007.0,Electronic Arts,E
Dance Dance Revolution Ultramix,Simulation,XB,2003.0,Konami Digital Entertainment,E
Crash Tag Team Racing,Racing,PS2,2005.0,Vivendi Games,E10+
Front Mission 4,Strategy,PS2,2003.0,Square Enix,T
Rayman Origins,Platform,PSV,2012.0,Ubisoft,E10+
F.E.A.R.,Shooter,PS3,2007.0,Vivendi Games,M
Enslaved: Odyssey to the West,Action,X360,2010.0,Namco Bandai Games,T
Dragon Ball Z: Shin Budokai,Fighting,PSP,2006.0,Atari,T
Tiger Woods PGA Tour 13,Sports,PS3,2012.0,Electronic Arts,E
Dynasty Warriors: Gundam 3,Action,PS3,2010.0,Tecmo Koei,T
Tony Hawk: Shred,Sports,Wii,2010.0,Activision,E
Tiger Woods PGA Tour 11,Sports,Wii,2010.0,Electronic Arts,E
NBA Live 10,Sports,PS3,2009.0,Electronic Arts,E
Metro 2033,Shooter,X360,2010.0,THQ,M
Fire Emblem: Path of Radiance,Action,GC,2005.0,Nintendo,T
Hotel Dusk: Room 215,Adventure,DS,2007.0,Nintendo,T
Final Fantasy Explorers,Role-Playing,3DS,2014.0,Square Enix,E10+
Bratz: Rock Angelz,Misc,GBA,2004.0,THQ,E
SSX Tricky,Sports,GC,2001.0,Electronic Arts,E
Greg Hastings' Tournament Paintball,Shooter,XB,2004.0,Activision,T
ESPN NBA Basketball,Sports,PS2,2003.0,Sega,E
Dragon Ball Z: Ultimate Tenkaichi,Fighting,X360,2011.0,Namco Bandai Games,T
Sacred 2: Fallen Angel,Role-Playing,X360,2009.0,Deep Silver,M
Two Worlds II,Role-Playing,X360,2011.0,Unknown,M
Over the Hedge,Platform,PS2,2006.0,Activision,E10+
Mat Hoffman's Pro BMX,Sports,PS,2001.0,Activision,E
Phineas and Ferb: Across the 2nd Dimension,Action,DS,2011.0,Disney Interactive Studios,E
50 Classic Games,Misc,DS,2009.0,Destineer,E
NHL 14,Sports,X360,2013.0,Electronic Arts,E10+
Petz Nursery,Simulation,DS,2009.0,Ubisoft,E
The Hobbit,Platform,PS2,2003.0,Vivendi Games,E
War of the Monsters,Fighting,PS2,2003.0,Sony Computer Entertainment,T
Harry Potter and the Deathly Hallows - Part 1,Action,Wii,2010.0,Electronic Arts,T
The Incredible Hulk: Ultimate Destruction,Action,PS2,2005.0,Vivendi Games,T
Time Crisis: Razing Storm,Shooter,PS3,2010.0,Namco Bandai Games,T
Summer Sports: Paradise Island,Sports,Wii,2008.0,Ubisoft,E
Time Crisis II,Shooter,PS2,2001.0,Namco Bandai Games,T
NCAA March Madness 06,Sports,PS2,2005.0,Electronic Arts,E
LEGO Dimensions,Action,WiiU,2015.0,Warner Bros. Interactive Entertainment,E10+
Valkyria Chronicles II,Role-Playing,PSP,2010.0,Sega,T
Monster High: Ghoul Spirit,Misc,Wii,2011.0,THQ,E
Tatsunoko vs. Capcom: Ultimate All-Stars,Fighting,Wii,2010.0,Capcom,T
Rune Factory: A Fantasy Harvest Moon,Role-Playing,DS,2006.0,Rising Star Games,E
Legacy of Kain: Defiance,Action,PS2,2003.0,Eidos Interactive,M
NCAA March Madness 2005,Sports,PS2,2004.0,Electronic Arts,E
007 Racing,Racing,PS,2000.0,Electronic Arts,T
Tactics Ogre: Let Us Cling Together,Role-Playing,PSP,2010.0,Square Enix,T
Conflict: Vietnam,Shooter,PS2,2004.0,SCi,M
Dragon's Crown,Role-Playing,PS3,2013.0,Nippon Ichi Software,T
MLB SlugFest 20-04,Sports,PS2,2003.0,Midway Games,E
NASCAR 09,Racing,PS2,2008.0,Electronic Arts,E
Blitz: The League,Sports,XB,2004.0,Midway Games,M
Manhunt 2,Action,Wii,2007.0,Take-Two Interactive,M
Just Dance 2015,Misc,XOne,2014.0,Ubisoft,E10+
The LEGO Movie Videogame,Action,XOne,2014.0,Warner Bros. Interactive Entertainment,E10+
Overwatch,Shooter,PC,2016.0,Activision,T
Monster Jam: Path of Destruction,Racing,Wii,2010.0,Activision,E
Peter Jackson's King Kong: The Official Game of the Movie,Action,XB,2005.0,Ubisoft,T
Burnout Revenge,Racing,XB,2005.0,Electronic Arts,E10+
Medal of Honor: European Assault,Shooter,XB,2005.0,Electronic Arts,T
Ty the Tasmanian Tiger 2: Bush Rescue,Platform,PS2,2004.0,Electronic Arts,E
The Lord of the Rings: The Fellowship of the Ring,Action,XB,2002.0,Universal Interactive,T
NBA 06,Sports,PS2,2005.0,Sony Computer Entertainment,E
Excite Truck,Racing,Wii,2006.0,Nintendo,E
Magician's Quest: Mysterious Times,Role-Playing,DS,2008.0,Konami Digital Entertainment,E10+
Hello Kitty: Big City Dreams,Puzzle,DS,2008.0,Empire Interactive,E
X-Men Legends,Role-Playing,GC,2004.0,Activision,T
G-Force,Action,DS,2009.0,Disney Interactive Studios,E10+
StarCraft II: Legacy of the Void,Strategy,PC,2015.0,Activision,T
